account_id,unique_senders,total_incoming_transactions,total_incoming_amount,sender_accounts
PRIV366354,11,11,149789.67,"['CHAS205509', 'LUXE495790', 'PNCB778630', 'LUXE845691', 'SWIS741422', 'PRIV567583', 'MORG507864', 'CITI201077', 'MORG349776', 'MORG146282', 'OFFS637941']"
PRIV663176,11,11,134221.57,"['CITI475834', 'USBA593212', 'CITI506734', 'CAPI130395', 'PRIV761704', 'OFFS133988', 'WELL622509', 'SHEL475427', 'WELL544816', 'CITI378367', 'BANK109541']"
SHEL344783,11,11,111281.24,"['WELL302196', 'SWIS877551', 'STAN609173', 'UBS621870', 'PNCB537633', 'SWIS458092', 'CAYM282795', 'CITI401786', 'LUXE767137', 'TDBA524694', 'DEUT544451']"
HSBC788909,11,11,77035.16,"['MORG306306', 'HSBC982241', 'SWIS479480', 'PRIV939952', 'MORG107147', 'CHAS621918', 'SWIS953428', 'CAPI564172', 'USBA606158', 'USBA563045', 'STAN538348']"
CAPI430323,11,11,63930.54,"['TDBA611111', 'BANK467683', 'CAPI436500', 'CAYM165285', 'CITI384423', 'CRED878756', 'STAN928354', 'TDBA512000', 'GOLD273817', 'CAYM999506', 'STAN525510']"
PNCB514830,11,11,59620.25000000001,"['WELL227750', 'SHEL528808', 'CAPI877230', 'GOLD192946', 'PNCB955870', 'GOLD499870', 'MORG489536', 'SHEL178074', 'WELL117276', 'HSBC817125', 'CAPI756622']"
USBA131661,11,11,57006.490000000005,"['BANK668956', 'CRED105924', 'CAPI719273', 'CAPI667968', 'CAPI865759', 'SWIS955014', 'BANK783652', 'BANK960169', 'USBA768702', 'USBA828645', 'USBA185642']"
USBA828645,11,11,48961.909999999996,"['BANK253726', 'PRIV443723', 'LUXE645200', 'BARC138245', 'GOLD994954', 'TDBA665201', 'CRED555487', 'OFFS197834', 'CAPI644265', 'HSBC748145', 'TDBA457780']"
MORG698090,11,11,41631.86,"['BANK109541', 'DEUT464227', 'CAYM646837', 'CRED673324', 'PNCB513637', 'SWIS239874', 'BANK227858', 'USBA593212', 'BARC731377', 'PRIV326346', 'UBS180463']"
TDBA338246,11,11,22243.959999999995,"['BANK816698', 'HSBC428287', 'PRIV464061', 'CRED611274', 'HSBC628694', 'UBS803829', 'USBA883131', 'CAYM790807', 'DEUT205343', 'CAYM161329', 'PNCB840748']"
TDBA830492,11,11,10320.630000000001,"['HSBC262390', 'WELL467859', 'HSBC387553', 'TDBA666709', 'SWIS267978', 'PRIV801328', 'PNCB153722', 'STAN848752', 'TDBA957974', 'OFFS893443', 'MORG707037']"
PNCB962104,10,10,137969.82,"['CHAS521835', 'PNCB895364', 'OFFS924046', 'PRIV758821', 'WELL361387', 'USBA300157', 'GOLD574723', 'LUXE914667', 'HSBC130089', 'STAN722424']"
CAPI830868,10,10,103563.93999999999,"['CRED228378', 'BARC697169', 'PRIV101550', 'CITI302535', 'CAYM666492', 'CAYM712183', 'USBA170097', 'CHAS731881', 'OFFS877340', 'CRED919735']"
CAYM640157,10,10,77383.04999999999,"['STAN722424', 'PRIV275815', 'PRIV250587', 'BARC210213', 'SHEL496487', 'TDBA363626', 'CAPI940904', 'PRIV283902', 'LUXE400239', 'PNCB820629']"
TDBA329906,10,10,62192.780000000006,"['GOLD721567', 'PRIV294443', 'WELL217450', 'MORG833869', 'MORG497526', 'WELL206114', 'SWIS797155', 'CAPI168922', 'UBS638780', 'BARC665360']"
HSBC848034,10,10,58512.49,"['BARC299741', 'USBA865915', 'USBA892760', 'OFFS456984', 'CRED154497', 'HSBC875360', 'LUXE265346', 'GOLD414381', 'CITI388599', 'BANK379376']"
USBA664938,10,10,41219.93,"['HSBC561276', 'UBS549613', 'MORG747617', 'WELL622509', 'PNCB752973', 'SHEL190568', 'CAPI430983', 'USBA672607', 'GOLD587309', 'TDBA457780']"
OFFS772496,10,10,34549.01,"['PRIV186655', 'CAYM282806', 'DEUT503419', 'TDBA276961', 'PRIV428010', 'CHAS356676', 'DEUT117574', 'SWIS263196', 'MORG538877', 'HSBC243088']"
STAN558233,10,10,6788.160000000001,"['PRIV925369', 'CHAS455337', 'STAN795947', 'LUXE287598', 'BARC308213', 'USBA316382', 'CAPI399145', 'SWIS217933', 'LUXE537158', 'PRIV269559']"
STAN362236,9,9,158162.1,"['SWIS793094', 'LUXE539928', 'WELL467859', 'MORG497526', 'CHAS964681', 'DEUT719118', 'CAYM754006', 'USBA220558', 'LUXE433564']"
CRED143894,9,9,102239.16,"['MORG995551', 'STAN365953', 'HSBC243088', 'WELL467859', 'GOLD143332', 'CRED312046', 'CAYM103931', 'OFFS731526', 'SWIS343010']"
CRED555487,9,9,101116.25,"['BARC767452', 'CAYM404970', 'CAPI970532', 'CITI376532', 'CAPI644265', 'LUXE180552', 'HSBC437720', 'TDBA466551', 'SHEL858126']"
SHEL654672,9,9,88515.23000000001,"['LUXE291903', 'GOLD633700', 'UBS759664', 'HSBC942698', 'CITI753547', 'DEUT654151', 'PRIV599477', 'DEUT611914', 'TDBA887612']"
BANK981924,9,9,62302.590000000004,"['CITI389353', 'CHAS256418', 'PNCB138669', 'UBS317487', 'HSBC460390', 'USBA316382', 'CRED978722', 'STAN563155', 'WELL588657']"
HSBC561276,9,9,51148.68,"['DEUT925687', 'BANK571046', 'STAN356949', 'MORG823190', 'BANK508259', 'HSBC561230', 'USBA369636', 'PRIV908047', 'CITI523421']"
LUXE433564,9,9,47267.67,"['CITI455089', 'GOLD154912', 'CRED260368', 'SHEL343080', 'OFFS407278', 'CRED582179', 'PRIV721905', 'STAN752264', 'CRED239279']"
PRIV532042,9,9,42882.21,"['GOLD244032', 'BARC308213', 'BANK853473', 'SHEL326069', 'HSBC454554', 'BANK362940', 'CHAS869002', 'CITI970351', 'GOLD721886']"
CAYM754006,9,9,36288.26,"['CAYM790807', 'OFFS897394', 'SWIS479480', 'CAPI195027', 'WELL543456', 'TDBA335119', 'CHAS256544', 'CITI968315', 'CRED312046']"
WELL631860,9,9,36080.869999999995,"['CRED136027', 'TDBA247517', 'TDBA221027', 'USBA955385', 'CITI717714', 'BARC226003', 'SWIS228874', 'UBS359686', 'DEUT435645']"
CAYM179417,9,9,30108.59,"['CAPI602377', 'PRIV769624', 'USBA371863', 'CAYM898779', 'UBS737615', 'BARC507594', 'USBA185642', 'WELL544816', 'PNCB518640']"
CAYM338268,9,9,24914.73,"['CAYM947975', 'PNCB923262', 'TDBA276961', 'LUXE405093', 'CITI697659', 'SHEL959484', 'STAN436263', 'HSBC355343', 'CHAS205509']"
WELL361387,9,9,22066.7,"['HSBC848034', 'USBA617209', 'BANK662579', 'BARC330974', 'SHEL178074', 'PNCB935163', 'MORG737867', 'PNCB923262', 'PRIV150089']"
CHAS964681,9,9,19658.64,"['HSBC741334', 'GOLD592428', 'DEUT575388', 'PRIV761704', 'USBA563045', 'CAPI195027', 'OFFS979377', 'SHEL858126', 'LUXE810056']"
USBA865915,9,9,17316.53,"['UBS385194', 'CITI720809', 'UBS474423', 'GOLD633700', 'WELL319384', 'CRED476072', 'GOLD878508', 'CAPI865759', 'SWIS979593']"
TDBA247517,9,9,17312.78,"['WELL853336', 'GOLD963260', 'CAYM709446', 'BARC412598', 'TDBA666709', 'CAYM666492', 'MORG572148', 'BARC961941', 'SHEL913053']"
CAYM421416,9,9,15698.280000000002,"['DEUT466698', 'UBS954483', 'BANK579337', 'CHAS261591', 'OFFS690239', 'CAPI796327', 'USBA152350', 'CAPI168922', 'SWIS582795']"
TDBA327116,9,9,14395.73,"['USBA950864', 'PRIV225286', 'CRED671634', 'SHEL820398', 'CRED192852', 'CRED718887', 'OFFS631044', 'OFFS632272', 'PNCB798668']"
HSBC408024,9,9,13066.52,"['MORG417537', 'TDBA830492', 'SWIS877518', 'MORG489536', 'SHEL959484', 'OFFS163622', 'GOLD242784', 'CAPI430983', 'MORG721843']"
TDBA447524,9,9,10144.83,"['SWIS292702', 'HSBC379581', 'HSBC628694', 'CAPI806783', 'BARC927687', 'DEUT176312', 'HSBC561276', 'WELL361387', 'CRED520628']"
SHEL816029,9,9,8993.0,"['CAPI773475', 'SHEL159199', 'STAN291462', 'DEUT852835', 'HSBC243088', 'CITI720809', 'BANK759021', 'CRED484210', 'OFFS917135']"
USBA490026,9,9,5916.790000000001,"['STAN130564', 'BANK167151', 'STAN436263', 'PRIV567078', 'SHEL976334', 'BARC694017', 'CAPI599131', 'SHEL464798', 'CHAS668069']"
HSBC387553,9,9,4209.5,"['CITI141552', 'STAN780206', 'HSBC561230', 'USBA131661', 'STAN683811', 'HSBC758655', 'CHAS326459', 'UBS360010', 'LUXE692383']"
TDBA422203,9,9,2951.7400000000007,"['UBS759664', 'PNCB820629', 'UBS266029', 'OFFS971568', 'UBS815900', 'TDBA338246', 'WELL853336', 'LUXE928162', 'DEUT685595']"
WELL206114,8,8,217293.01,"['USBA185642', 'WELL999576', 'SHEL475427', 'DEUT773512', 'MORG698090', 'CAYM918014', 'OFFS947956', 'USBA220558']"
WELL980633,8,8,183268.28999999998,"['CAYM148978', 'CHAS131793', 'BARC107200', 'CRED718887', 'OFFS855206', 'MORG280939', 'CAPI430323', 'CAYM640157']"
TDBA524694,8,8,66821.68,"['DEUT852965', 'GOLD349180', 'CRED345828', 'SWIS125731', 'LUXE495940', 'PNCB465671', 'MORG721843', 'CAPI830868']"
HSBC758655,8,8,54769.91,"['CITI947036', 'GOLD696458', 'HSBC640188', 'SHEL690543', 'BANK651527', 'LUXE955121', 'PRIV277654', 'HSBC848034']"
CAPI588903,8,8,53254.130000000005,"['CAPI902848', 'USBA499385', 'STAN538348', 'CAPI389261', 'MORG291180', 'BARC901665', 'BARC315956', 'LUXE813458']"
UBS383971,8,8,52170.15,"['UBS266029', 'LUXE644558', 'SWIS741422', 'USBA609986', 'DEUT821745', 'CRED671634', 'SHEL712704', 'PNCB202639']"
USBA185642,8,8,47650.94,"['TDBA166544', 'CRED105924', 'CITI533731', 'BARC222810', 'OFFS185714', 'DEUT573640', 'UBS339867', 'STAN227492']"
CRED260368,8,8,43440.14,"['CAPI815893', 'HSBC661314', 'WELL999576', 'CAYM922665', 'MORG709781', 'GOLD511143', 'BARC507594', 'CHAS178200']"
TDBA719047,8,8,41464.12,"['TDBA231707', 'SHEL285936', 'OFFS727056', 'CRED209723', 'GOLD261425', 'BARC519844', 'CAYM970327', 'HSBC387553']"
MORG497526,8,8,39353.09,"['SHEL398373', 'GOLD267902', 'CITI766024', 'MORG654126', 'SHEL275240', 'CAPI806783', 'GOLD142688', 'CAPI236351']"
DEUT773512,8,8,37420.74,"['SWIS954093', 'USBA702851', 'HSBC355343', 'PNCB962104', 'OFFS975921', 'CAYM949753', 'CITI477483', 'WELL924049']"
PRIV218261,8,8,30274.479999999996,"['GOLD194846', 'STAN807201', 'OFFS850071', 'GOLD805060', 'GOLD604057', 'UBS559260', 'SWIS956344', 'WELL231333']"
TDBA702205,8,8,29765.93,"['BARC750795', 'SWIS806994', 'BARC747801', 'BARC471511', 'OFFS404502', 'OFFS363731', 'CAYM640157', 'STAN558636']"
CAPI969693,8,8,29168.480000000003,"['PNCB143841', 'OFFS881466', 'BANK245644', 'WELL917077', 'SHEL188549', 'PRIV313519', 'USBA499385', 'DEUT966754']"
HSBC130089,8,8,27770.9,"['SWIS582795', 'BANK913910', 'BARC299118', 'CAPI383827', 'WELL961099', 'PRIV567078', 'BANK960169', 'PRIV150089']"
CAYM369488,8,8,26914.53,"['CITI210484', 'UBS565436', 'DEUT172798', 'UBS799269', 'LUXE675230', 'USBA512285', 'CITI796309', 'CHAS801368']"
PNCB648750,8,8,26681.34,"['DEUT217163', 'CAPI436500', 'CRED541876', 'CAYM947975', 'PNCB447067', 'USBA105650', 'LUXE829375', 'SWIS239874']"
USBA371863,8,8,20975.129999999997,"['UBS418730', 'CRED904757', 'TDBA329906', 'OFFS801722', 'SHEL288215', 'GOLD721567', 'PRIV357632', 'SWIS370324']"
HSBC635434,8,8,20215.469999999998,"['STAN808595', 'CHAS596223', 'CHAS332672', 'GOLD577534', 'GOLD364687', 'PRIV909324', 'BARC890169', 'UBS758385']"
HSBC561230,8,8,17052.09,"['PRIV995132', 'GOLD511967', 'SWIS797013', 'DEUT777399', 'MORG123771', 'CHAS727661', 'CHAS817118', 'GOLD762951']"
WELL220805,8,8,14801.419999999998,"['HSBC426024', 'CITI107112', 'BARC579905', 'USBA991076', 'DEUT680370', 'OFFS443692', 'WELL176809', 'TDBA457780']"
TDBA681183,8,8,13669.810000000001,"['BANK400847', 'CAPI153361', 'LUXE481376', 'PNCB624712', 'DEUT440075', 'MORG449272', 'DEUT253124', 'CAPI731664']"
USBA299776,8,8,9319.3,"['SHEL418247', 'CRED815549', 'CHAS455337', 'TDBA338246', 'SHEL654672', 'HSBC355343', 'CRED986778', 'CRED582179']"
WELL319384,8,8,8296.37,"['CAYM431461', 'SWIS290304', 'CAPI602377', 'CITI951717', 'CITI961408', 'HSBC460390', 'CHAS480648', 'PRIV347284']"
WELL455114,8,8,6990.580000000002,"['CITI149703', 'PNCB160145', 'OFFS480142', 'PRIV326346', 'BANK857239', 'CHAS633633', 'PRIV258706', 'DEUT197850']"
CHAS801368,8,8,5570.349999999999,"['CHAS934010', 'CITI523421', 'BARC366757', 'CITI386430', 'SHEL719873', 'SHEL473398', 'BARC983366', 'SWIS674507']"
TDBA389153,8,8,5475.280000000001,"['MORG572499', 'MORG433264', 'OFFS705328', 'PRIV269947', 'SHEL962997', 'HSBC352298', 'WELL643585', 'DEUT498277']"
CAYM871108,8,8,5279.47,"['SWIS562357', 'GOLD598380', 'UBS814576', 'TDBA512000', 'OFFS407278', 'HSBC503406', 'BARC240439', 'GOLD249288']"
CAYM431461,8,8,5237.26,"['CITI388206', 'PRIV193445', 'LUXE300204', 'CRED365246', 'STAN558233', 'SHEL344783', 'HSBC153089', 'SWIS674507']"
SHEL173359,8,8,5199.34,"['MORG109434', 'WELL208157', 'OFFS855206', 'CAPI902381', 'SWIS581126', 'CAYM754006', 'PNCB995728', 'SHEL803626']"
SHEL178074,8,8,5058.35,"['PNCB182432', 'STAN696782', 'SWIS860831', 'STAN516862', 'BANK859444', 'CHAS165870', 'SHEL782390', 'OFFS883052']"
CAYM431872,8,8,4934.4,"['LUXE537307', 'CITI992714', 'TDBA681183', 'GOLD450895', 'SHEL644025', 'DEUT154281', 'BANK719820', 'CITI333045']"
HSBC661314,8,8,4790.48,"['DEUT387367', 'DEUT163255', 'CAPI311017', 'SWIS262488', 'CHAS174043', 'CHAS248387', 'HSBC225446', 'DEUT851195']"
GOLD933367,7,7,154233.82,"['BARC898770', 'SWIS385342', 'SWIS322833', 'SHEL568137', 'PNCB648750', 'UBS946544', 'OFFS772496']"
UBS559260,7,7,119569.60999999999,"['TDBA524694', 'SHEL418247', 'DEUT544451', 'HSBC875360', 'PRIV218261', 'SWIS916852', 'PRIV532042']"
CAYM282795,7,7,79459.04,"['SWIS343010', 'USBA499385', 'CAPI723835', 'TDBA466551', 'SHEL344783', 'LUXE523541', 'CITI858302']"
USBA593212,7,7,65210.45,"['CRED869421', 'MORG451470', 'CAYM421416', 'WELL168283', 'SWIS656880', 'MORG721843', 'DEUT172798']"
HSBC437720,7,7,58524.07,"['STAN633248', 'BANK720234', 'STAN752264', 'HSBC642091', 'MORG960579', 'BARC883695', 'TDBA524694']"
CITI978019,7,7,56850.7,"['OFFS404502', 'SHEL913053', 'BANK757413', 'MORG444410', 'SWIS803103', 'CRED919735', 'BANK613915']"
STAN759600,7,7,49717.71,"['HSBC426024', 'WELL294119', 'BARC201027', 'LUXE886073', 'GOLD226779', 'LUXE279947', 'SHEL355366']"
WELL588657,7,7,44967.83,"['WELL924049', 'UBS499803', 'GOLD572115', 'UBS612868', 'CAPI815893', 'GOLD349180', 'OFFS476946']"
SWIS916852,7,7,38024.409999999996,"['USBA530800', 'MORG449272', 'UBS474423', 'WELL980633', 'CRED986778', 'PNCB791403', 'SWIS648223']"
HSBC817125,7,7,33702.729999999996,"['TDBA860327', 'BANK287876', 'LUXE302064', 'OFFS975921', 'UBS268987', 'USBA606158', 'LUXE134876']"
CAPI130395,7,7,33577.2,"['CITI455089', 'BANK214660', 'SHEL201001', 'UBS621870', 'BANK155902', 'SHEL190568', 'CITI324820']"
TDBA962686,7,7,29597.71,"['CITI660747', 'PNCB923262', 'BARC240439', 'USBA606158', 'STAN752242', 'OFFS531172', 'BARC869899']"
OFFS133988,7,7,27833.21,"['BANK497922', 'TDBA212761', 'HSBC232159', 'USBA883131', 'CITI324820', 'LUXE342609', 'DEUT941896']"
OFFS443692,7,7,24510.96,"['UBS604930', 'CRED197787', 'SHEL712885', 'CHAS521835', 'PRIV829426', 'TDBA369623', 'BARC222810']"
HSBC449847,7,7,22946.01,"['WELL643585', 'UBS907130', 'SHEL311324', 'GOLD268276', 'CAYM918014', 'MORG428601', 'BARC323608']"
HSBC225446,7,7,22394.82,"['OFFS443692', 'CRED869421', 'DEUT172798', 'SWIS620787', 'SWIS362492', 'PRIV269947', 'DEUT966754']"
HSBC982241,7,7,16462.620000000003,"['WELL603111', 'SHEL201001', 'DEUT493096', 'LUXE845409', 'CHAS122133', 'SWIS190900', 'TDBA719047']"
UBS826435,7,7,13789.9,"['LUXE576898', 'PNCB523759', 'PRIV636726', 'DEUT851195', 'SWIS860831', 'STAN362854', 'OFFS354764']"
CHAS209875,7,7,13200.43,"['CAYM898779', 'PNCB892312', 'WELL622509', 'CAPI813872', 'LUXE189059', 'CAYM947975', 'MORG437689']"
HSBC738372,7,7,12916.63,"['CHAS458175', 'BANK688839', 'LUXE764480', 'CITI766024', 'TDBA920107', 'BARC890169', 'BARC518009']"
USBA152350,7,7,12681.349999999999,"['MORG789689', 'CAYM615500', 'CAYM783235', 'PRIV595148', 'CAYM640157', 'MORG299204', 'USBA369636']"
TDBA428332,7,7,11489.13,"['SHEL190568', 'USBA152350', 'UBS949394', 'DEUT311529', 'LUXE829375', 'CHAS511928', 'SWIS232473']"
LUXE116480,7,7,11393.24,"['CRED152519', 'LUXE790250', 'PNCB648750', 'OFFS235151', 'CAYM547073', 'UBS811873', 'PNCB995728']"
UBS899899,7,7,10010.34,"['SWIS979593', 'SHEL275240', 'LUXE428335', 'STAN130564', 'CHAS278143', 'SWIS772483', 'SHEL190568']"
BANK495469,7,7,9588.13,"['TDBA666709', 'CRED541876', 'BANK465156', 'CAPI744247', 'SWIS797013', 'LUXE302064', 'OFFS966041']"
CAPI383827,7,7,9447.0,"['OFFS363731', 'CAYM387531', 'USBA865915', 'USBA609986', 'MORG838099', 'OFFS480571', 'UBS438300']"
